Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
ACU,1,0,-136.64,0,-53.48,0,-107.14,0,-27.94,0.0,-132.14,2.0,19.77
ACU,2,1,85.1,1,11.46,1,311.21,1,8.12,1.0,544.41,1.0,157.45
ACY,1,0,-129.24,2,911.07,0,-135.41,2,470.25,0.0,-112.58,0.0,-55.5
ACY,2,0,-225.24,0,-112.2,0,-457.59,0,-131.79,0.0,-25.89,0.0,-137.81
AE,1,0,-86.66,2,522.92,2,232.22,0,-89.23,0.0,-109.35,0.0,-75.94
AE,2,1,176.87,0,-49.22,0,-215.35,1,60.03,1.0,124.76,1.0,722.29
AGE,1,2,107.43,2,365.45,2,124.63,2,4271.93,0.0,-100.0,,
AGE,2,0,-1014.96,0,-78.38,0,-216.8,0,-96.38,0.0,-12.53,,
AIM,1,0,-693.65,0,-48.7,0,-9.99,0,-286.08,0.0,-45.46,0.0,-210.74
AIM,2,0,-86.85,0,-15.54,0,-11.1,0,-104.27,0.0,-54.06,0.0,-60.31
AINC,1,0,-96.61,0,-137.76,0,-105.22,0,-194.74,0.0,-67.9,0.0,-595.1
AINC,2,1,254.24,0,-96.1,1,146.13,0,-75.59,0.0,-93.69,0.0,-71.6
AIRI,1,2,336.2,2,471.55,2,265.19,2,310.55,0.0,-77.5,0.0,-2.86
AIRI,2,0,-363.67,0,-15.2,0,-4285.23,0,-278.45,0.0,-252.38,0.0,-334.1
AMS,1,2,199.33,2,103.1,2,234.68,2,458.02,0.0,-79.17,0.0,-27.21
AMS,2,0,-2169.44,0,-594.16,0,-177.58,0,-82.31,0.0,-50.0,0.0,-151.51
APT,1,0,-57.85,0,-381.76,0,-56.13,0,-98.47,2.0,45.35,0.0,-125.97
APT,2,0,-61.29,0,-46.38,0,-38.93,1,226.61,0.0,-98.5,1.0,944.87
AUMN,1,0,-134.75,0,-6.52,0,-166.49,0,-480.87,0.0,-100.0,0.0,-73.33
AUMN,2,1,243.49,0,-1683.67,1,3119.23,0,-9.54,0.0,-50.01,0.0,-200.0
AWX,1,2,3221.55,0,-125.2,2,393.43,0,-13.91,2.0,691.81,0.0,-78.18
AWX,2,1,110.82,1,256.78,0,-44.66,1,227.42,0.0,-36.51,0.0,-8.33
BATL,1,2,271.59,0,-73.17,2,289.19,0,-97.88,,,,
BATL,2,0,-276.42,0,-875.48,0,-119.91,0,-298.41,,,,
BDL,1,0,-58.3,0,-1616.48,0,-42.52,0,-212.55,0.0,-52.57,0.0,-6770.3
BDL,2,1,214.43,0,-109.17,1,190.51,0,-61.94,1.0,213.7,0.0,-104.7
BDR,1,0,-132.83,0,-923.32,2,263.96,0,-26.88,0.0,-16.66,0.0,-76.67
BDR,2,0,-15.67,0,-183.55,0,-72.57,0,-296.23,0.0,-4.2,0.0,-190.91
BHB,1,2,29633.33,2,3800.0,2,29633.33,2,3800.0,0.0,-81.8,0.0,-227.88
BHB,2,0,-98.37,1,128.57,0,-98.37,1,128.57,0.0,-88.26,1.0,475.99
BKTI,1,2,81.21,0,-138.2,2,425.06,0,-174.12,2.0,549.99,0.0,-1976.84
BKTI,2,0,-82.01,1,323.68,0,-118.2,1,213.78,0.0,-327.83,0.0,-60.22
BRG,1,0,-978.05,0,-153.43,0,-15.23,0,-59.34,0.0,-73.96,0.0,-119.78
BRG,2,0,-8.25,0,-83.25,1,163.58,0,-72.2,0.0,-215.63,0.0,-2876.19
BRN,1,0,-71.81,2,659.14,0,-146.4,2,79.72,0.0,-110.5,0.0,-89.91
BRN,2,1,269.23,0,-28.78,1,282.15,1,202.85,1.0,189.29,0.0,-145.72
BTG,1,0,-137.01,2,586.7,0,-115.35,2,452.98,2.0,51.66,0.0,-92.34
BTG,2,0,-42.12,0,-88.69,0,-36.89,0,-84.67,1.0,216.89,1.0,2124.9
CBOE,1,2,413.33,2,257.23,2,174.29,2,478.68,0.0,-920.62,2.0,349.24
CBOE,2,0,-90.37,0,-129.55,0,-52.71,0,-140.69,0.0,-92.94,0.0,-687.89
CCF,1,2,530.1,0,-80.02,2,443.62,0,-618.0,2.0,331.21,2.0,115.59
CCF,2,0,-379.44,0,-354.23,0,-37.96,0,-107.99,0.0,-134.19,0.0,-993.33
CDOR,1,2,694.75,0,-114.97,2,231.2,0,-133.58,0.0,-78.45,0.0,-257.14
