Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
AACG,1,2,417.64,2,715.89,2,410.78,2,8870.34,2.0,350.0,0.0,-101.27
AACG,2,0,-14.53,0,-399.19,0,-48.63,0,-442.18,0.0,-18.57,1.0,6800.17
AAL,1,0,-302.56,0,-5034.25,0,-71.82,0,-2358.91,0.0,-961.4,0.0,-2430.26
AAL,2,0,-96.58,1,138.99,1,218.12,0,-38.89,0.0,-72.76,1.0,55.87
AAME,1,0,-101.84,0,-96.08,0,-126.6,2,177.55,0.0,-140.0,0.0,-84.0
AAME,2,1,1458.1,0,-4626.28,1,206.37,0,-72.93,1.0,122.83,0.0,-252.77
AAOI,1,0,-203.85,2,119.83,0,-281.56,2,180.03,0.0,-50.41,0.0,-99.34
AAOI,2,0,-65.98,0,-0.32,0,-71.46,0,-4.66,0.0,-630.43,0.0,-2724.36
AAON,1,0,-337.73,2,98.7,0,-283.45,2,18.16,0.0,-144.73,2.0,67.56
AAON,2,1,163.6,1,194.35,1,184.51,1,14.95,1.0,168.89,1.0,232.28
AAPL,1,2,797.86,2,297.34,2,760.0,2,370.1,2.0,706.24,2.0,3170.59
AAPL,2,1,537.41,0,-121.83,1,257.45,0,-112.86,1.0,885.9,0.0,-101.15
AAWW,1,2,660.96,2,638.6,2,913.98,2,649.13,2.0,1997.38,2.0,168.97
AAWW,2,0,-113.43,0,-130.19,0,-106.59,0,-90.48,0.0,-103.26,0.0,-702.0
ABCB,1,0,-138.25,0,-26.54,0,-138.25,0,-26.54,0.0,-107.5,2.0,2172.07
ABCB,2,1,319.19,1,123.47,1,319.19,1,123.47,1.0,276.25,0.0,-104.32
ABMD,1,0,-65.1,0,-73.41,0,-61.69,0,-68.6,0.0,-101.91,0.0,-116.3
ABMD,2,1,242.45,0,-9.14,1,234.7,0,-11.25,1.0,1.97,1.0,17.9
ABST,1,0,-11.49,0,-16.69,0,-2.85,2,3.19,0.0,-100.0,0.0,-73.34
ABST,2,0,-24.68,1,251.48,1,16.86,1,114.02,0.0,-33.32,0.0,-22.62
ABTX,1,0,-98.94,0,-104.56,0,-98.94,0,-104.56,0.0,-103.92,0.0,-339.81
ABTX,2,1,88.71,1,12.36,1,88.71,1,12.36,0.0,-64.58,0.0,-94.78
ACAD,1,2,2422.15,0,-71.13,0,-96.21,0,-41.2,0.0,-75.93,0.0,-32.29
ACAD,2,0,-149.46,1,122.67,0,-57.24,0,-34.97,0.0,-90.01,0.0,-1.52
ACBI,1,0,-93.23,0,-289.94,0,-93.23,0,-289.94,2.0,3544.4,0.0,-88.57
ACBI,2,1,4333.1,0,-69.3,1,4333.1,0,-69.3,0.0,-85.83,1.0,744.33
ACGL,1,2,247.72,0,-106.09,2,240.86,0,-14.98,0.0,-29.01,0.0,-111.49
ACGL,2,0,-98.58,1,1096.79,0,-98.12,1,963.38,0.0,-66.48,1.0,354.61
ACHC,1,0,-289.15,0,-25.33,0,-416.82,0,-25.37,0.0,-25269.43,0.0,-540.41
ACHC,2,1,449.13,1,115.46,1,366.51,1,116.56,0.0,-141.33,1.0,186.29
ACIA,1,0,-101.24,0,-42.52,0,-79.06,0,-30.37,2.0,1747.12,2.0,722.9
ACIA,2,1,125.5,1,504.86,1,125.29,1,412.43,0.0,-86.1,0.0,-21.74
ACIU,1,0,-92.04,2,232.46,0,-86.48,2,2338.38,0.0,-80.07,2.0,323.82
ACIU,2,0,-292.95,0,-48.31,0,-108.39,0,-405.73,0.0,-79.69,0.0,-66.6
ACIW,1,2,2014.04,0,-48.02,2,322.7,0,-88.38,2.0,4055.46,2.0,358.7
ACIW,2,0,-89.89,1,703.03,1,84.43,1,1845.39,0.0,-94.7,0.0,-100.25
ACLS,1,2,238.89,2,291.19,2,204.6,2,270.46,2.0,291.48,2.0,404.96
ACLS,2,0,-151.65,0,-200.97,0,-405.69,0,-388.59,0.0,-198.73,0.0,-2.34
ACNB,1,2,57.71,2,13.47,2,57.71,2,13.47,0.0,-96.9,0.0,-91.75
ACNB,2,0,-68.35,0,-56.2,0,-68.35,0,-56.2,1.0,584.4,1.0,735.87
ACOR,1,2,173.81,0,-168.69,2,194.91,0,-198.04,2.0,169.09,0.0,-893.67
ACOR,2,1,126.54,0,-236.61,1,144.27,0,-250.23,0.0,-49.16,1.0,121.25
ACRS,1,0,-126.82,0,-386.68,2,130.98,2,270.56,0.0,-55.96,0.0,-95.04
ACRS,2,0,-38.0,0,-81.46,0,-164.24,0,-111.78,0.0,-36.78,0.0,-672.04
ACRX,1,0,-327.69,0,-19.99,0,-108.09,2,108.78,0.0,-58.33,0.0,-34.45
ACRX,2,1,961.4,0,-7.73,1,3608.59,0,-35.52,0.0,-440.05,0.0,-66.94
ACTG,1,2,8269.12,0,-204.89,2,1941.43,0,-190.48,2.0,85.86,0.0,-85.98
ACTG,2,0,-147.3,1,251.54,0,-109.79,1,276.79,1.0,127.5,0.0,-510.17
ADBE,1,2,126.2,0,-18.28,2,99.03,0,-35.93,2.0,1121.41,2.0,423.41
ADBE,2,1,11.79,0,-13.49,1,158.33,1,0.17,0.0,-183.57,0.0,-71.44
ADES,1,0,-106.46,2,50.12,2,1193.71,2,508.09,2.0,110.95,0.0,-73.48
ADES,2,1,368.91,1,139.44,0,-73.03,0,-354.48,0.0,-801.64,1.0,151.84
ADI,1,0,-58.0,0,-44.52,0,-56.22,0,-72.8,0.0,-100.0,0.0,-15.89
ADI,2,0,-65.1,0,-127.16,0,-54.36,0,-120.11,0.0,-79.21,0.0,-111.72
ADMA,1,0,-420.43,0,-32.2,2,235.14,2,836.81,0.0,-50.69,0.0,-60.38
ADMA,2,0,-99.31,0,-78.61,0,-54.98,0,-83.75,0.0,-78.2,0.0,-29.25
ADMS,1,0,-46.82,0,-30.82,0,-43.81,0,-40.01,0.0,-305.33,0.0,-112.02
ADMS,2,0,-78.63,0,-99.05,0,-75.32,0,-98.97,0.0,-63.77,0.0,-3.09
ADP,1,0,-9.4,0,-82.1,2,133.09,0,-46.03,0.0,-82.85,0.0,-62.3
ADP,2,1,136.68,1,27.17,1,116.77,0,-13.58,1.0,192.64,1.0,230.35
ADPT,1,0,-1068.63,0,-172.24,0,-41.58,0,-70.38,0.0,-477.14,0.0,-86.34
ADPT,2,0,-91.73,0,-128.34,1,6737.84,1,18.0,0.0,-3.75,0.0,-1391.36
ADSK,1,2,110.5,0,-43.71,2,111.86,0,-42.5,0.0,-26.96,2.0,519.64
ADSK,2,1,25.5,0,-0.5,1,39.16,1,9.86,1.0,194.95,0.0,-7348.7
ADTN,1,0,-187.34,0,-113.33,0,-165.7,0,-3060.0,0.0,-95.96,2.0,158.87
ADTN,2,1,196.11,1,120.6,0,-72.24,1,100.73,1.0,310.88,0.0,-2.27
ADUS,1,2,221.1,0,-12.8,0,-79.61,0,-30.1,2.0,259.84,2.0,13.56
ADUS,2,1,258.0,1,8.35,1,271.72,1,6.36,0.0,-14.91,1.0,878.88
ADV,1,2,5170.73,0,-73.49,2,242.33,0,-96.09,,,,
ADV,2,0,-98.24,1,97.51,0,-30.58,1,254.11,,,,
AEGN,1,2,145.19,0,-33.75,2,185.48,0,-379.68,0.0,-357.35,0.0,-909.55
AEGN,2,1,127.9,0,-153.67,0,-106.15,0,-116.67,1.0,481.47,1.0,129.9
