Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
A,1,0,-64.31,0,-75.54,0,-75.13,0,-32.74,2.0,183.27,0.0,-112.83
A,2,1,872.13,0,-60.2,1,846.77,0,-48.68,0.0,-89.06,1.0,559.8
AA,1,0,-47.46,0,-31.87,0,-88.71,0,-50.41,0.0,-78.22,0.0,-5080.54
AA,2,1,226.27,0,-297.55,1,203.17,0,-247.44,0.0,-374.53,0.0,-106.39
AAIC,1,2,304.7,0,-312.84,2,304.7,0,-312.84,0.0,-148.94,2.0,118.86
AAIC,2,0,-137.42,1,167.57,0,-137.42,1,167.57,1.0,123.15,0.0,-525.09
AAP,1,0,-233.33,2,309.84,0,-529.63,2,205.22,0.0,-3.32,0.0,-77.34
AAP,2,1,143.9,0,-62.92,1,122.25,0,-39.37,0.0,-106.65,1.0,280.19
AAT,1,0,-34.05,0,-140.85,0,-232.72,0,-151.18,0.0,-2.5,0.0,-145.24
AAT,2,0,-62.3,1,118.85,1,118.27,1,114.37,0.0,-9.89,1.0,409.98
AB,1,2,120.72,2,1081.99,2,120.72,2,1081.99,2.0,99.25,2.0,4015.0
AB,2,1,275.94,0,-109.78,1,275.94,0,-109.78,1.0,393.54,0.0,-102.82
ABB,1,2,397.29,0,-355.18,2,31.22,0,-678.07,2.0,8058.43,2.0,865.64
ABB,2,0,-259.68,0,-52.02,1,795.0,0,-88.36,0.0,-183.35,0.0,-3437.11
ABBV,1,2,237.71,2,625.32,0,-68.81,2,2300.64,0.0,-126.08,0.0,-209.53
ABBV,2,0,-35.21,0,-80.6,1,13.41,0,-90.24,1.0,409.87,1.0,305.68
ABC,1,0,-19.69,0,-56.88,0,-22.34,0,-17.29,2.0,106.07,0.0,-1004.92
ABC,2,1,181.8,1,1198.57,1,297.46,0,-28.16,0.0,-2448.14,0.0,-112.91
ABEV,1,0,-34.67,2,254.03,0,-44.9,2,247.31,2.0,500.0,0.0,-100.0
ABEV,2,1,347.3,0,-155.97,1,538.57,0,-27.52,0.0,-25.0,1.0,191.26
ABG,1,0,-71.73,0,-21.94,0,-23.97,0,-122.29,0.0,-108.02,2.0,147.78
ABG,2,1,452.71,1,33.86,1,374.53,0,-24.42,0.0,-39.79,0.0,-38.84
ABM,1,0,-23.31,2,338.7,2,195.3,0,-993.18,0.0,-102.57,0.0,-441.88
ABM,2,1,283.53,0,-75.58,0,-6.07,0,-95.15,1.0,123.89,0.0,-98.54
ABR,1,0,-25.47,0,-41.18,0,-18.78,0,-60.99,0.0,-96.53,2.0,171.89
ABR,2,0,-95.49,0,-42.37,0,-99.75,0,-43.13,0.0,-57.65,0.0,-145.18
ABT,1,2,33.58,2,9.31,2,0.29,2,95.39,0.0,-43.15,0.0,-61.09
ABT,2,1,334.3,0,-63.83,1,504.08,0,-62.71,1.0,4124.77,0.0,-86.02
ACA,1,0,-714.72,0,-32.82,0,-271.35,0,-39.57,0.0,-1042.69,0.0,-111.91
ACA,2,0,-155.34,1,388.44,0,-181.04,1,13621.43,0.0,-227.27,1.0,410.74
ACC,1,2,1411.68,0,-244.67,2,61.86,0,-208.63,2.0,540.0,0.0,-47.5
ACC,2,0,-86.74,0,-35.32,1,136.05,0,-33.24,0.0,-57.35,0.0,-142.01
ACCO,1,0,-4.02,0,-2606.59,0,-82.89,0,-2149.33,2.0,1033.32,2.0,137.57
ACCO,2,1,823.47,1,120.27,1,569.64,1,292.31,0.0,-69.45,0.0,-143.42
ACEL,1,2,11872.05,0,-22.63,2,36101.1,0,-17.25,2.0,118.98,,
ACEL,2,0,-661.97,0,-25.22,0,-648.05,0,-22.39,0.0,-850.01,,
ACI,1,0,-91.4,2,26.99,0,-92.81,2,210.78,0.0,-16.04,,
ACI,2,0,-158.74,1,171.49,0,-164.87,1,148.78,0.0,-106.95,,
ACM,1,0,-211.97,0,-42.18,0,-160.3,0,-73.53,2.0,131.26,0.0,-90.2
ACM,2,0,-73.13,1,192.48,1,787.28,0,-92.85,0.0,-277.45,0.0,-385.55
ACN,1,2,632.0,0,-24.35,2,702.11,0,-52.58,2.0,249.79,0.0,-55.25
ACN,2,0,-149.5,0,-48.83,0,-5.19,0,-59.28,1.0,1011.54,0.0,-2.72
ACRE,1,0,-122.11,0,-153.3,0,-122.11,0,-153.3,0.0,-86.81,0.0,-833.33
ACRE,2,0,-98.48,1,97.46,0,-98.48,1,97.46,0.0,-66.35,0.0,-119.83
ADC,1,2,3.78,0,-11.72,2,9.26,0,-11.25,2.0,145.18,0.0,-216.73
ADC,2,1,148.59,1,71.73,1,253.07,1,59.93,0.0,-884.33,1.0,158.46
ADM,1,2,599.16,2,1011.11,2,365.87,0,-195.92,2.0,491.37,2.0,223.78
ADM,2,0,-136.1,0,-104.3,0,-180.94,0,-91.52,0.0,-340.94,0.0,-263.95
ADNT,1,0,-86.19,0,-66.39,0,-94.24,0,-345.23,2.0,669.29,0.0,-84.42
ADNT,2,1,258.08,0,-54.64,1,325.78,0,-169.31,0.0,-94.56,0.0,-75.82
ADS,1,0,-130.18,0,-93.25,0,-22.28,0,-1157.62,0.0,-137.24,0.0,-78.0
ADS,2,1,12.83,0,-324.13,1,124.96,0,-143.02,1.0,755.58,0.0,-390.64
ADT,1,0,-95.92,0,-69.51,2,150.0,0,-68.91,0.0,-89.02,0.0,-88.28
ADT,2,0,-110.0,1,56.09,0,-12.86,1,92.38,0.0,-81.13,0.0,-255.02
AEE,1,0,-263.45,2,325.27,0,-210.64,0,-68.87,0.0,-237.42,2.0,397.78
AEE,2,1,2.47,0,-532.56,1,682.39,0,-457.4,0.0,-24.36,0.0,-98.37
AEL,1,2,190.24,0,-128.17,2,319.42,0,-124.15,0.0,-128.07,2.0,438.55
AEL,2,0,-201.84,1,373.79,0,-103.41,1,305.51,1.0,273.48,0.0,-129.14
AEM,1,0,-102.38,2,76.42,0,-107.0,2,86.0,0.0,-80.68,0.0,-97.72
AEM,2,1,951.42,1,272.44,1,545.23,1,705.24,1.0,642.67,1.0,203.21
AEO,1,0,-93.26,0,-72.29,0,-72.14,2,6.64,2.0,627.37,0.0,-179.13
AEO,2,1,999.31,1,2113.16,1,203.65,1,23.15,0.0,-98.19,1.0,1261.78
AER,1,0,-1244.87,2,415.54,0,-332.12,2,160.72,0.0,-4247.08,2.0,276.69
AER,2,0,-66.45,0,-191.47,0,-121.48,0,-4181.82,0.0,-32.47,0.0,-62.28
