Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
LIN,1,4,9.5,4,87.52,4,7.5,4,90.27,0,-3.51,0,-15.19
LIN,2,0,-4.77,2,24.28,0,-5.37,2,30.62,2,10.03,0,-2.33
LIN,3,1,0.1,1,6.35,0,-4.82,1,7.82,0,-4.22,1,6.92
SHW,1,4,11.15,4,8.32,4,11.26,4,2.09,4,17.41,4,22.26
SHW,2,2,16.89,2,10.42,2,11.03,2,17.02,2,70.88,2,7.88
SHW,3,0,-0.23,1,13.47,1,0.78,1,26.39,0,-2.52,1,13.67
APD,1,4,4.62,4,1.86,4,12.34,0,-0.7,4,9.07,4,4.33
APD,2,0,-4.75,2,7.4,0,-6.82,0,-0.13,0,-4.22,2,3.23
APD,3,0,-1.55,1,12.5,0,-1.7,1,9.07,0,-2.07,1,17.83
ECL,1,4,16.85,4,2.81,4,12.4,4,1.62,4,67.91,4,7.08
ECL,2,0,-17.75,2,4.06,0,-11.09,2,6.02,0,-33.55,2,18.56
ECL,3,0,-19.22,1,2.32,0,-21.0,1,5.2,0,-35.09,1,7.47
DD,1,4,10.87,0,-13.58,4,5.55,0,-4.79,4,113.39,0,-28.26
DD,2,0,-19.23,2,141.93,0,-7.53,2,93.57,0,-10682.18,2,51090.38
DD,3,0,-7.13,0,-64.85,1,0.33,0,-75.76,0,-102.92,0,-99.98
NEM,1,4,46.24,4,34.51,4,34.04,4,34.29,4,48.56,4,135.07
NEM,2,2,3.48,0,-2.08,0,-8.37,0,-1.71,0,-21.48,0,-42.14
NEM,3,0,-12.41,1,8.74,0,-13.01,1,10.46,1,10.22,1,50.59
DOW,1,4,80.24,0,-25.33,4,16.26,0,-13.41,4,317.74,0,-72.7
